adsh,Risk Factors,Label 1,Label 1 - details,Label 2,Label 2 - details
0000007789-23-000013,Revenues from our investment management and asset servicing businesses are significant to our earnings.,strategy risk,,,
0000007789-23-000013,Climate change and related legislative and regulatory initiatives may result in operational changes and expenditures that could significantly impact our business.,legal and regulatory risk,,,
0000007789-23-000013,"Severe weather, natural disasters, public health issues, civil unrest, acts of war or terrorism, and other external events could significantly impact our ability to conduct business.",legal and regulatory risk,,,
0000007789-23-000013,"Increasing, complex and evolving regulatory and stakeholder expectations on ESG matters could adversely affect our reputation, our access to capital and the market price of our securities.",legal and regulatory risk,,,
0000007789-23-000013,Strategic and External Risks,strategy risk,,,
0000007789-23-000013,Our financial condition and results of operations could be negatively affected if we fail to grow or fail to manage our growth effectively.,strategy risk,,,
0000007789-23-000013,We operate in a highly competitive industry and market area.,competition risk,,,
0000007789-23-000013,Fiscal challenges facing the U.S. government could negatively impact financial markets which in turn could have an adverse effect on our financial position or results of operations.,market risk,,,
0000007789-23-000013,Consumers may decide not to use banks to complete their financial transactions.,other risk,Customer Perference,,
0000007789-23-000013,Our profitability depends significantly on economic conditions in the states within which we do business.,market risk,,,
0000007789-23-000013,The earnings of financial services companies are significantly affected by general business and economic conditions.,market risk,,,
0000007789-23-000013,New lines of business or new products and services may subject us to additional risk.,business risk,,,
0000007789-23-000013,Failure to keep pace with technological change could adversely affect our business.,competition risk,,,
0000007789-23-000013,We may be adversely affected by risks associated with potential and completed acquisitions.,strategy risk,,,
0000007789-23-000013,"Acquisitions may be delayed, impeded, or prohibited due to regulatory issues.",strategy risk,,,
0000007789-23-000013,"Legal, Regulatory, Compliance and Reputational Risks",legal and regulatory risk,,,
0000007789-23-000013,We are subject to extensive government regulation and supervision.,legal and regulatory risk,,,
0000007789-23-000013,"The Bank faces risks related to the adoption of future legislation and potential changes in federal regulatory agency leadership, policies, and priorities.",legal and regulatory risk,,,
0000007789-23-000013,Changes in requirements relating to the standard of conduct for broker-dealers under applicable federal and state law may adversely affect our business.,legal and regulatory risk,,,
0000007789-23-000013,"The CFPB has reshaped the consumer financial laws through rulemaking and enforcement of the prohibitions against unfair, deceptive and abusive business practices. Compliance with any such change may impact the business operations of depository institutions offering consumer financial products or services, including the Bank.",legal and regulatory risk,,,
0000007789-23-000013,"The Bank is periodically examined for mortgage-related issues, including mortgage loan and default services, fair lending, and mortgage banking.",credit risk,,,
0000007789-23-000013,We may experience unanticipated losses as a result of residential mortgage loan repurchase or reimbursement obligations under agreements with secondary market purchasers,strategy risk,,,
0000007789-23-000013,Fee revenues from overdraft protection programs constitute a significant portion of our noninterest income and may be subject to increased supervisory scrutiny.,strategy risk,,,
0000007789-23-000013,We are subject to examinations and challenges by tax authorities.,legal and regulatory risk,,,
0000007789-23-000013,We are subject to claims and litigation pertaining to fiduciary responsibility.,legal and regulatory risk,,,
0000007789-23-000013,"We are a defendant in a variety of litigation and other actions, which may have a material adverse effect on our financial condition and results of operation.",legal and regulatory risk,,,
